date,unemployment benefits,severance,linkedin,jobs near me,indeed
2019-12-15,2.0,1.0,33.0,31.0,68.0
2019-12-22,2.0,1.0,22.0,29.0,52.0
2019-12-29,2.0,1.0,30.0,41.0,72.0
2020-01-05,3.0,1.0,45.0,47.0,91.0
2020-01-12,2.0,1.0,44.0,48.0,89.0
2020-01-19,3.0,1.0,47.0,44.0,86.0
2020-01-26,2.0,1.0,53.0,39.0,78.0
2020-02-02,2.0,1.0,45.0,39.0,77.0
2020-02-09,2.0,1.0,48.0,36.0,72.0
2020-02-16,2.0,1.0,51.0,38.0,81.0
2020-02-23,2.0,1.0,46.0,36.0,72.0
2020-03-01,2.0,1.0,45.0,34.0,74.0
2020-03-08,3.0,1.0,41.0,30.0,67.0
2020-03-15,19.0,1.0,33.0,32.0,59.0
2020-03-22,29.0,2.0,36.0,29.0,55.0
2020-03-29,96.0,2.0,38.0,26.0,50.0
2020-04-05,100.0,2.0,36.0,24.0,48.0
2020-04-12,72.0,2.0,38.0,24.0,44.0
2020-04-19,44.0,2.0,37.0,26.0,48.0
2020-04-26,37.0,2.0,37.0,28.0,49.0
2020-05-03,31.0,2.0,42.0,31.0,52.0
2020-05-10,29.0,2.0,43.0,36.0,61.0
2020-05-17,34.0,2.0,40.0,36.0,58.0
2020-05-24,34.0,2.0,39.0,40.0,58.0
2020-05-31,29.0,2.0,43.0,41.0,62.0
2020-06-07,30.0,1.0,43.0,45.0,63.0
2020-06-14,30.0,2.0,44.0,41.0,63.0
2020-06-21,40.0,2.0,44.0,40.0,61.0
2020-06-28,45.0,1.0,36.0,34.0,58.0
2020-07-05,49.0,1.0,42.0,41.0,64.0
2020-07-12,38.0,1.0,44.0,36.0,60.0
2020-07-19,37.0,2.0,47.0,38.0,65.0
2020-07-26,39.0,1.0,42.0,40.0,65.0
2020-08-02,49.0,1.0,42.0,44.0,64.0
2020-08-09,43.0,1.0,45.0,40.0,65.0
2020-08-16,36.0,1.0,43.0,40.0,67.0
2020-08-23,29.0,1.0,42.0,34.0,58.0
2020-08-30,29.0,1.0,41.0,36.0,58.0
2020-09-06,31.0,1.0,36.0,35.0,56.0
2020-09-13,30.0,1.0,41.0,36.0,59.0
2020-09-20,31.0,1.0,41.0,34.0,61.0
2020-09-27,28.0,1.0,36.0,38.0,63.0
2020-10-04,27.0,1.0,37.0,34.0,63.0
2020-10-11,27.0,1.0,34.0,39.0,64.0
2020-10-18,27.0,1.0,35.0,42.0,68.0
2020-10-25,24.0,1.0,32.0,39.0,66.0
2020-11-01,20.0,1.0,29.0,34.0,55.0
2020-11-08,24.0,1.0,31.0,44.0,64.0
2020-11-15,24.0,1.0,32.0,42.0,65.0
2020-11-22,28.0,1.0,26.0,33.0,45.0
2020-11-29,26.0,1.0,33.0,44.0,63.0
2020-12-06,26.0,1.0,33.0,42.0,58.0
2020-12-13,27.0,1.0,33.0,35.0,59.0
2020-12-20,31.0,1.0,24.0,29.0,39.0
2020-12-27,44.0,1.0,25.0,36.0,51.0
2021-01-03,33.0,1.0,34.0,45.0,63.0
2021-01-10,31.0,1.0,36.0,41.0,62.0
2021-01-17,30.0,1.0,36.0,40.0,62.0
2021-01-24,27.0,1.0,34.0,38.0,61.0
2021-01-31,25.0,1.0,36.0,38.0,67.0
2021-02-07,27.0,1.0,35.0,32.0,53.0
2021-02-14,28.0,1.0,26.0,24.0,36.0
2021-02-21,26.0,1.0,37.0,36.0,60.0
2021-02-28,26.0,1.0,35.0,36.0,61.0
2021-03-07,30.0,1.0,36.0,32.0,58.0
2021-03-14,24.0,1.0,31.0,29.0,53.0
2021-03-21,26.0,1.0,35.0,30.0,58.0
2021-03-28,21.0,1.0,34.0,29.0,54.0
2021-04-04,24.0,1.0,47.0,31.0,56.0
2021-04-11,22.0,1.0,57.0,32.0,57.0
2021-04-18,21.0,1.0,36.0,32.0,63.0
2021-04-25,18.0,1.0,36.0,31.0,58.0
2021-05-02,22.0,1.0,38.0,33.0,60.0
2021-05-09,22.0,1.0,41.0,35.0,64.0
2021-05-16,26.0,1.0,46.0,36.0,67.0
2021-05-23,19.0,1.0,39.0,39.0,63.0
2021-05-30,19.0,1.0,33.0,40.0,65.0
2021-06-06,17.0,1.0,37.0,41.0,67.0
2021-06-13,16.0,1.0,35.0,43.0,66.0
2021-06-20,15.0,1.0,38.0,40.0,68.0
2021-06-27,20.0,1.0,37.0,40.0,68.0
2021-07-04,16.0,1.0,33.0,42.0,66.0
2021-07-11,18.0,1.0,37.0,44.0,73.0
2021-07-18,14.0,1.0,35.0,38.0,73.0
2021-07-25,14.0,1.0,34.0,36.0,70.0
2021-08-01,12.0,1.0,33.0,42.0,71.0
2021-08-08,12.0,1.0,34.0,39.0,69.0
2021-08-15,11.0,1.0,34.0,39.0,71.0
2021-08-22,12.0,1.0,38.0,40.0,70.0
2021-08-29,10.0,1.0,38.0,39.0,66.0
2021-09-05,12.0,1.0,36.0,37.0,65.0
2021-09-12,9.0,1.0,37.0,42.0,68.0
2021-09-19,9.0,1.0,37.0,36.0,68.0
2021-09-26,7.0,1.0,38.0,36.0,68.0
2021-10-03,7.0,0.0,37.0,37.0,67.0
2021-10-10,6.0,1.0,36.0,35.0,67.0
2021-10-17,6.0,1.0,34.0,37.0,65.0
2021-10-24,5.0,1.0,37.0,33.0,64.0
2021-10-31,6.0,1.0,34.0,35.0,62.0
2021-11-07,6.0,1.0,37.0,34.0,65.0
2021-11-14,5.0,1.0,37.0,34.0,61.0
2021-11-21,5.0,1.0,26.0,28.0,43.0
2021-11-28,6.0,1.0,36.0,35.0,64.0
2021-12-05,5.0,1.0,34.0,36.0,66.0
2021-12-12,5.0,1.0,34.0,31.0,58.0
2021-12-19,5.0,1.0,27.0,27.0,44.0
2021-12-26,5.0,0.0,26.0,31.0,54.0
2022-01-02,6.0,1.0,48.0,39.0,75.0
2022-01-09,6.0,1.0,51.0,37.0,71.0
2022-01-16,5.0,1.0,48.0,33.0,68.0
2022-01-23,6.0,1.0,55.0,37.0,72.0
2022-01-30,5.0,1.0,53.0,33.0,70.0
2022-02-06,5.0,1.0,58.0,36.0,76.0
2022-02-13,5.0,3.0,55.0,34.0,73.0
2022-02-20,4.0,6.0,54.0,32.0,67.0
2022-02-27,4.0,4.0,55.0,35.0,70.0
2022-03-06,4.0,4.0,54.0,34.0,73.0
2022-03-13,4.0,4.0,57.0,34.0,69.0
2022-03-20,4.0,5.0,55.0,33.0,69.0
2022-03-27,4.0,6.0,59.0,34.0,69.0
2022-04-03,4.0,9.0,59.0,35.0,68.0
2022-04-10,4.0,10.0,57.0,31.0,69.0
2022-04-17,4.0,7.0,57.0,35.0,75.0
2022-04-24,4.0,5.0,60.0,32.0,70.0
2022-05-01,4.0,4.0,60.0,33.0,70.0
2022-05-08,4.0,4.0,59.0,36.0,71.0
2022-05-15,4.0,4.0,59.0,37.0,82.0
2022-05-22,4.0,4.0,57.0,37.0,76.0
2022-05-29,5.0,4.0,53.0,41.0,77.0
2022-06-05,5.0,4.0,64.0,43.0,85.0
