date,unemployment benefits,severance,linkedin,jobs near me,indeed
2019-12-15,1.0,1.0,30.0,30.0,72.0
2019-12-22,1.0,1.0,23.0,26.0,54.0
2019-12-29,1.0,1.0,26.0,35.0,76.0
2020-01-05,1.0,1.0,34.0,40.0,89.0
2020-01-12,1.0,1.0,35.0,38.0,87.0
2020-01-19,1.0,1.0,38.0,37.0,84.0
2020-01-26,1.0,1.0,37.0,33.0,79.0
2020-02-02,1.0,1.0,33.0,34.0,79.0
2020-02-09,1.0,1.0,34.0,32.0,79.0
2020-02-16,1.0,1.0,37.0,33.0,80.0
2020-02-23,1.0,1.0,33.0,32.0,79.0
2020-03-01,1.0,1.0,36.0,31.0,76.0
2020-03-08,1.0,1.0,30.0,27.0,69.0
2020-03-15,9.0,1.0,30.0,26.0,53.0
2020-03-22,20.0,2.0,33.0,29.0,61.0
2020-03-29,37.0,1.0,30.0,24.0,49.0
2020-04-05,66.0,1.0,30.0,23.0,53.0
2020-04-12,26.0,1.0,31.0,25.0,46.0
2020-04-19,21.0,1.0,31.0,28.0,54.0
2020-04-26,21.0,1.0,32.0,28.0,54.0
2020-05-03,15.0,1.0,33.0,31.0,63.0
2020-05-10,15.0,1.0,35.0,31.0,63.0
2020-05-17,15.0,1.0,34.0,36.0,67.0
2020-05-24,15.0,1.0,31.0,36.0,68.0
2020-05-31,13.0,1.0,33.0,39.0,68.0
2020-06-07,10.0,1.0,34.0,42.0,72.0
2020-06-14,10.0,1.0,35.0,37.0,70.0
2020-06-21,11.0,1.0,35.0,38.0,69.0
2020-06-28,12.0,1.0,32.0,35.0,64.0
2020-07-05,11.0,1.0,35.0,43.0,68.0
2020-07-12,11.0,1.0,36.0,37.0,71.0
2020-07-19,11.0,1.0,35.0,36.0,69.0
2020-07-26,12.0,1.0,33.0,35.0,69.0
2020-08-02,18.0,1.0,33.0,37.0,72.0
2020-08-09,12.0,1.0,37.0,37.0,72.0
2020-08-16,10.0,1.0,34.0,36.0,73.0
2020-08-23,11.0,1.0,34.0,34.0,75.0
2020-08-30,10.0,1.0,33.0,37.0,67.0
2020-09-06,10.0,1.0,33.0,34.0,67.0
2020-09-13,7.0,1.0,34.0,36.0,70.0
2020-09-20,7.0,1.0,35.0,36.0,71.0
2020-09-27,6.0,1.0,32.0,37.0,73.0
2020-10-04,6.0,1.0,32.0,34.0,69.0
2020-10-11,5.0,1.0,31.0,36.0,69.0
2020-10-18,5.0,1.0,29.0,36.0,70.0
2020-10-25,4.0,1.0,29.0,36.0,68.0
2020-11-01,3.0,1.0,24.0,30.0,56.0
2020-11-08,4.0,1.0,29.0,35.0,66.0
2020-11-15,4.0,1.0,28.0,37.0,72.0
2020-11-22,3.0,1.0,22.0,29.0,51.0
2020-11-29,5.0,1.0,29.0,33.0,63.0
2020-12-06,5.0,1.0,28.0,33.0,57.0
2020-12-13,5.0,1.0,26.0,31.0,57.0
2020-12-20,7.0,1.0,20.0,24.0,41.0
2020-12-27,10.0,0.0,20.0,30.0,47.0
2021-01-03,10.0,1.0,28.0,36.0,62.0
2021-01-10,7.0,1.0,32.0,34.0,61.0
2021-01-17,7.0,1.0,29.0,36.0,61.0
2021-01-24,6.0,1.0,31.0,34.0,64.0
2021-01-31,6.0,1.0,33.0,30.0,61.0
2021-02-07,5.0,1.0,32.0,31.0,62.0
2021-02-14,5.0,1.0,30.0,31.0,61.0
2021-02-21,5.0,1.0,35.0,32.0,61.0
2021-02-28,6.0,1.0,31.0,30.0,61.0
2021-03-07,7.0,1.0,31.0,30.0,56.0
2021-03-14,6.0,1.0,28.0,26.0,49.0
2021-03-21,6.0,1.0,31.0,30.0,52.0
2021-03-28,6.0,1.0,29.0,27.0,46.0
2021-04-04,5.0,1.0,41.0,28.0,56.0
2021-04-11,4.0,1.0,52.0,30.0,56.0
2021-04-18,5.0,1.0,31.0,29.0,56.0
2021-04-25,5.0,1.0,33.0,30.0,59.0
2021-05-02,6.0,1.0,35.0,31.0,61.0
2021-05-09,7.0,1.0,36.0,34.0,66.0
2021-05-16,6.0,1.0,40.0,34.0,63.0
2021-05-23,6.0,1.0,33.0,34.0,66.0
2021-05-30,5.0,1.0,30.0,38.0,70.0
2021-06-06,5.0,1.0,32.0,37.0,75.0
2021-06-13,5.0,1.0,32.0,37.0,73.0
2021-06-20,5.0,1.0,32.0,35.0,78.0
2021-06-27,5.0,1.0,33.0,37.0,75.0
2021-07-04,4.0,1.0,28.0,37.0,73.0
2021-07-11,4.0,0.0,32.0,39.0,76.0
2021-07-18,4.0,1.0,30.0,35.0,75.0
2021-07-25,5.0,1.0,31.0,37.0,73.0
2021-08-01,4.0,1.0,29.0,39.0,74.0
2021-08-08,4.0,1.0,29.0,38.0,76.0
2021-08-15,4.0,1.0,33.0,38.0,77.0
2021-08-22,4.0,1.0,33.0,38.0,78.0
2021-08-29,5.0,1.0,30.0,36.0,73.0
2021-09-05,7.0,1.0,29.0,42.0,75.0
2021-09-12,4.0,1.0,33.0,39.0,77.0
2021-09-19,3.0,0.0,33.0,37.0,80.0
2021-09-26,3.0,1.0,35.0,37.0,81.0
2021-10-03,2.0,1.0,34.0,36.0,75.0
2021-10-10,2.0,1.0,31.0,35.0,74.0
2021-10-17,2.0,1.0,34.0,34.0,75.0
2021-10-24,2.0,0.0,32.0,35.0,70.0
2021-10-31,2.0,1.0,33.0,33.0,69.0
2021-11-07,1.0,1.0,31.0,33.0,68.0
2021-11-14,2.0,1.0,33.0,33.0,66.0
2021-11-21,1.0,0.0,23.0,25.0,53.0
2021-11-28,1.0,1.0,33.0,32.0,68.0
2021-12-05,1.0,1.0,33.0,32.0,65.0
2021-12-12,1.0,1.0,34.0,31.0,64.0
2021-12-19,1.0,0.0,25.0,24.0,48.0
2021-12-26,1.0,0.0,23.0,30.0,58.0
2022-01-02,1.0,1.0,44.0,34.0,81.0
2022-01-09,2.0,1.0,41.0,34.0,76.0
2022-01-16,1.0,1.0,39.0,31.0,81.0
2022-01-23,1.0,1.0,40.0,29.0,73.0
2022-01-30,2.0,1.0,41.0,32.0,75.0
2022-02-06,1.0,1.0,43.0,30.0,72.0
2022-02-13,2.0,3.0,40.0,30.0,75.0
2022-02-20,1.0,5.0,36.0,27.0,68.0
2022-02-27,1.0,3.0,43.0,30.0,73.0
2022-03-06,2.0,3.0,40.0,29.0,74.0
2022-03-13,1.0,3.0,40.0,30.0,71.0
2022-03-20,1.0,4.0,42.0,28.0,76.0
2022-03-27,1.0,4.0,44.0,28.0,69.0
2022-04-03,1.0,7.0,49.0,27.0,75.0
2022-04-10,1.0,8.0,44.0,28.0,73.0
2022-04-17,1.0,5.0,47.0,27.0,71.0
2022-04-24,1.0,5.0,48.0,31.0,76.0
2022-05-01,1.0,4.0,46.0,36.0,76.0
2022-05-08,1.0,3.0,49.0,34.0,82.0
2022-05-15,1.0,3.0,44.0,34.0,83.0
2022-05-22,1.0,3.0,42.0,35.0,84.0
2022-05-29,1.0,2.0,39.0,34.0,76.0
2022-06-05,1.0,3.0,43.0,45.0,85.0
2022-06-12,1.0,3.0,47.0,38.0,86.0
2022-06-19,1.0,3.0,43.0,38.0,89.0
2022-06-26,1.0,3.0,43.0,36.0,88.0
2022-07-03,1.0,3.0,43.0,35.0,85.0
2022-07-10,2.0,4.0,64.0,37.0,92.0
2022-07-17,1.0,4.0,63.0,35.0,88.0
2022-07-24,1.0,4.0,45.0,36.0,89.0
2022-07-31,1.0,3.0,42.0,35.0,89.0
2022-08-07,1.0,4.0,45.0,35.0,90.0
2022-08-14,1.0,4.0,44.0,36.0,91.0
2022-08-21,1.0,3.0,45.0,35.0,89.0
2022-08-28,1.0,3.0,42.0,36.0,90.0
2022-09-04,1.0,3.0,40.0,32.0,83.0
2022-09-11,1.0,4.0,43.0,33.0,92.0
2022-09-18,1.0,3.0,46.0,31.0,92.0
2022-09-25,1.0,2.0,34.0,25.0,62.0
2022-10-02,2.0,2.0,42.0,35.0,84.0
2022-10-09,2.0,2.0,44.0,31.0,84.0
2022-10-16,1.0,2.0,42.0,29.0,83.0
2022-10-23,1.0,2.0,43.0,32.0,83.0
2022-10-30,1.0,3.0,42.0,29.0,80.0
2022-11-06,1.0,3.0,39.0,27.0,77.0
2022-11-13,1.0,2.0,44.0,30.0,80.0
2022-11-20,1.0,2.0,30.0,24.0,54.0
2022-11-27,1.0,2.0,42.0,30.0,78.0
2022-12-04,1.0,2.0,39.0,29.0,77.0
2022-12-11,2.0,2.0,40.0,29.0,75.0
2022-12-18,1.0,3.0,36.0,25.0,63.0
2022-12-25,1.0,3.0,31.0,28.0,69.0
2023-01-01,1.0169491525423728,3.226027397260274,40.66602594906296,34.30200907323396,86.73767514270888
2023-01-08,1.0169491525423728,3.226027397260274,48.1571359923114,36.445884640311085,93.16268811624286
2023-01-15,1.0169491525423728,3.226027397260274,44.94666025949064,33.2300712896954,87.80851063829788
2023-01-22,1.0169491525423728,3.226027397260274,55.64824603555984,33.2300712896954,89.95018162947588
2023-01-29,1.0169491525423728,3.226027397260274,48.1571359923114,32.15813350615684,80.31266216917489
2023-02-05,2.0338983050847457,3.226027397260274,46.01681883709756,30.014257939079716,84.59600415153088
2023-02-12,1.0169491525423728,2.1506849315068495,47.08697741470448,32.15813350615684,82.45433316035289
2023-02-19,1.0169491525423728,3.226027397260274,46.01681883709756,31.086195722618278,86.73767514270888
2023-02-26,1.0169491525423728,3.226027397260274,46.01681883709756,30.014257939079716,81.38349766476388
2023-03-05,1.0169491525423728,2.1506849315068495,47.08697741470448,31.086195722618278,78.1709911779969
2023-03-12,1.0169491525423728,2.1506849315068495,39.59586737145604,28.942320155541154,80.31266216917489
2023-03-19,1.0169491525423728,2.1506849315068495,44.94666025949064,31.086195722618278,87.80851063829788
2023-03-26,1.0169491525423728,2.1506849315068495,46.01681883709756,30.014257939079716,84.59600415153088
2023-04-02,1.0169491525423728,2.1506849315068495,41.73618452666988,30.014257939079716,83.52516865594188
2023-04-09,2.0338983050847457,2.1506849315068495,42.8063431042768,31.086195722618278,87.80851063829788
