,CA,TX,FL
1988-07-16,44240.0,15980.0,9916.0
1988-07-23,48818.0,14149.0,7720.0
1988-07-30,44815.0,13451.0,7373.0
1988-08-06,46726.0,13449.0,7114.0
1988-08-13,45568.0,13395.0,6551.0
1988-08-20,41793.0,12552.0,6524.0
1988-08-27,41370.0,13354.0,6393.0
1988-09-03,42640.0,13185.0,6632.0
1988-09-10,36468.0,12331.0,5204.0
1988-09-17,42359.0,14421.0,7357.0
1988-09-24,44941.0,12741.0,6315.0
1988-10-01,44040.0,12983.0,5707.0
1988-10-08,44655.0,14474.0,7272.0
1988-10-15,39110.0,14448.0,6883.0
1988-10-22,45634.0,14405.0,6390.0
1988-10-29,46058.0,14175.0,6216.0
1988-11-05,51960.0,14867.0,6540.0
1988-11-12,44948.0,12777.0,5825.0
1988-11-19,58592.0,17058.0,7356.0
1988-11-26,34489.0,10798.0,4280.0
1988-12-03,58101.0,16868.0,6560.0
1988-12-10,51635.0,16072.0,6622.0
1988-12-17,45559.0,14087.0,5972.0
1988-12-24,55890.0,16871.0,6306.0
1988-12-31,45655.0,10713.0,4350.0
1989-01-07,49646.0,15112.0,5489.0
1989-01-14,54091.0,19089.0,8302.0
1989-01-21,46667.0,16064.0,6270.0
1989-01-28,55400.0,16287.0,7144.0
1989-02-04,52461.0,15416.0,7384.0
1989-02-11,60148.0,14069.0,6963.0
1989-02-18,48656.0,15130.0,6340.0
1989-02-25,47121.0,12255.0,5720.0
1989-03-04,52372.0,13996.0,6550.0
1989-03-11,57492.0,13393.0,10072.0
1989-03-18,51643.0,12927.0,9316.0
1989-03-25,48103.0,11966.0,6676.0
1989-04-01,47544.0,10630.0,5807.0
1989-04-08,47367.0,13145.0,7759.0
1989-04-15,44622.0,13066.0,6646.0
1989-04-22,47544.0,12403.0,6496.0
1989-04-29,47971.0,11419.0,6591.0
1989-05-06,49951.0,9421.0,7331.0
1989-05-13,46887.0,13898.0,7153.0
1989-05-20,42751.0,11824.0,7681.0
1989-05-27,41605.0,11703.0,7804.0
1989-06-03,39089.0,10498.0,6755.0
1989-06-10,50264.0,13329.0,8713.0
1989-06-17,47456.0,12965.0,8564.0
1989-06-24,50245.0,12532.0,8551.0
1989-07-01,49268.0,12206.0,8813.0
1989-07-08,42000.0,10425.0,9236.0
1989-07-15,49573.0,16031.0,9520.0
1989-07-22,47656.0,14896.0,10262.0
1989-07-29,46585.0,13705.0,8189.0
1989-08-05,47810.0,12575.0,7506.0
1989-08-12,46964.0,13178.0,8952.0
1989-08-19,43796.0,12463.0,7556.0
1989-08-26,41089.0,12164.0,7115.0
1989-09-02,41324.0,12900.0,6629.0
1989-09-09,38215.0,11035.0,5981.0
1989-09-16,45068.0,15253.0,7908.0
1989-09-23,51056.0,14172.0,6630.0
1989-09-30,46281.0,12643.0,6595.0
1989-10-07,52820.0,14274.0,8660.0
1989-10-14,41635.0,14139.0,7322.0
1989-10-21,52306.0,15819.0,7315.0
1989-10-28,64204.0,15154.0,7107.0
1989-11-04,57644.0,14172.0,7444.0
1989-11-11,49200.0,14887.0,6494.0
1989-11-18,56203.0,15604.0,8173.0
1989-11-25,32781.0,15351.0,5149.0
1989-12-02,66469.0,15356.0,7780.0
1989-12-09,57641.0,16645.0,8186.0
1989-12-16,53074.0,15977.0,6856.0
1989-12-23,53582.0,16655.0,7468.0
1989-12-30,42918.0,15718.0,5562.0
1990-01-06,54834.0,11870.0,8951.0
1990-01-13,68101.0,18406.0,12415.0
1990-01-20,63169.0,19937.0,9301.0
1990-01-27,62371.0,17739.0,9804.0
1990-02-03,62079.0,17507.0,10224.0
1990-02-10,69000.0,18883.0,10146.0
1990-02-17,56319.0,15738.0,9514.0
1990-02-24,55476.0,13824.0,8431.0
1990-03-03,58622.0,14469.0,9755.0
1990-03-10,61882.0,15189.0,10225.0
1990-03-17,56683.0,15531.0,8871.0
1990-03-24,52302.0,13951.0,8292.0
1990-03-31,52272.0,12749.0,7689.0
1990-04-07,54967.0,13153.0,9211.0
1990-04-14,49556.0,13640.0,8642.0
1990-04-21,50969.0,12018.0,8511.0
1990-04-28,50506.0,13033.0,8414.0
1990-05-05,54604.0,11655.0,8989.0
1990-05-12,56830.0,12262.0,8818.0
1990-05-19,52504.0,11529.0,8528.0
1990-05-26,52386.0,13176.0,8808.0
1990-06-02,53382.0,10539.0,7140.0
1990-06-09,54552.0,12152.0,10398.0
1990-06-16,56015.0,12952.0,10183.0
1990-06-23,60987.0,12177.0,9968.0
1990-06-30,60074.0,13041.0,8873.0
1990-07-07,57179.0,12663.0,10447.0
1990-07-14,60293.0,13145.0,12901.0
1990-07-21,57151.0,13703.0,11039.0
1990-07-28,58494.0,12638.0,10103.0
1990-08-04,57486.0,13393.0,10232.0
1990-08-11,59786.0,13804.0,9841.0
1990-08-18,51504.0,12384.0,9443.0
1990-08-25,55914.0,12683.0,9003.0
1990-09-01,52818.0,11841.0,10655.0
1990-09-08,49842.0,12049.0,8858.0
1990-09-15,59733.0,12458.0,10624.0
1990-09-22,62165.0,12462.0,9515.0
1990-09-29,60825.0,12704.0,7897.0
1990-10-06,73549.0,13159.0,10689.0
1990-10-13,61139.0,14376.0,11521.0
1990-10-20,70871.0,15693.0,10984.0
1990-10-27,69095.0,16097.0,10674.0
1990-11-03,72864.0,14796.0,10071.0
1990-11-10,76929.0,16283.0,11625.0
1990-11-17,69020.0,17371.0,9030.0
1990-11-24,57942.0,14866.0,7875.0
1990-12-01,75832.0,15546.0,12173.0
1990-12-08,77780.0,18412.0,12853.0
1990-12-15,74612.0,17432.0,10420.0
1990-12-22,74759.0,18562.0,11530.0
1990-12-29,58952.0,11082.0,8862.0
1991-01-05,54092.0,11782.0,9427.0
1991-01-12,92765.0,22051.0,15416.0
1991-01-19,80666.0,24492.0,12714.0
1991-01-26,74681.0,19418.0,12300.0
1991-02-02,83305.0,18052.0,19892.0
1991-02-09,94033.0,18674.0,13757.0
1991-02-16,74051.0,16723.0,13541.0
1991-02-23,73060.0,15976.0,12372.0
1991-03-02,78871.0,14043.0,11875.0
1991-03-09,93387.0,14807.0,12656.0
1991-03-16,82543.0,13843.0,11217.0
1991-03-23,89153.0,14403.0,10484.0
1991-03-30,81928.0,15344.0,9734.0
1991-04-06,77939.0,11788.0,13243.0
1991-04-13,70043.0,14622.0,11950.0
1991-04-20,68072.0,15738.0,11779.0
1991-04-27,66446.0,13910.0,10913.0
1991-05-04,70106.0,13347.0,11151.0
1991-05-11,69545.0,14129.0,12223.0
1991-05-18,69529.0,13805.0,11652.0
1991-05-25,65268.0,14225.0,12223.0
1991-06-01,56890.0,11074.0,10260.0
1991-06-08,69993.0,15073.0,13733.0
1991-06-15,66416.0,15187.0,13942.0
1991-06-22,74513.0,14069.0,13633.0
1991-06-29,71236.0,13778.0,11712.0
1991-07-06,66242.0,14777.0,13401.0
1991-07-13,70536.0,18181.0,15577.0
1991-07-20,77243.0,15012.0,13483.0
1991-07-27,74039.0,14665.0,13094.0
1991-08-03,75175.0,14537.0,11468.0
1991-08-10,71012.0,16731.0,13105.0
1991-08-17,68762.0,13868.0,11735.0
1991-08-24,62956.0,14055.0,11695.0
1991-08-31,65869.0,14076.0,11697.0
1991-09-07,56215.0,12282.0,11593.0
1991-09-14,69052.0,14718.0,12637.0
1991-09-21,71818.0,15109.0,11472.0
1991-09-28,73119.0,15642.0,10594.0
1991-10-05,75761.0,14954.0,14127.0
1991-10-12,75914.0,21212.0,13602.0
1991-10-19,68843.0,16646.0,11514.0
1991-10-26,79075.0,16212.0,11574.0
1991-11-02,85448.0,18027.0,10088.0
1991-11-09,86888.0,18110.0,12664.0
1991-11-16,76473.0,16573.0,10627.0
1991-11-23,87171.0,19122.0,15027.0
1991-11-30,59904.0,16140.0,17003.0
1991-12-07,89548.0,13300.0,20162.0
1991-12-14,79731.0,20902.0,17579.0
1991-12-21,79402.0,20286.0,13945.0
1991-12-28,74522.0,15748.0,10303.0
1992-01-04,74300.0,15652.0,10656.0
1992-01-11,102514.0,23742.0,17166.0
1992-01-18,88420.0,18579.0,16169.0
1992-01-25,82073.0,21569.0,10979.0
1992-02-01,84001.0,21230.0,13841.0
1992-02-08,104782.0,17825.0,14300.0
1992-02-15,93470.0,21928.0,13223.0
1992-02-22,90655.0,15357.0,11525.0
1992-02-29,90228.0,20048.0,12063.0
1992-03-07,87158.0,16114.0,12675.0
1992-03-14,85177.0,16833.0,11082.0
1992-03-21,79952.0,19687.0,12044.0
1992-03-28,78678.0,16041.0,9350.0
1992-04-04,83965.0,16228.0,13794.0
1992-04-11,72674.0,17068.0,12817.0
1992-04-18,70179.0,19557.0,12382.0
1992-04-25,63272.0,15216.0,10480.0
1992-05-02,66747.0,17090.0,12151.0
1992-05-09,78760.0,16242.0,12023.0
1992-05-16,73768.0,14921.0,12561.0
1992-05-23,69393.0,16304.0,11980.0
1992-05-30,63061.0,15350.0,10360.0
1992-06-06,75812.0,16810.0,13809.0
1992-06-13,79618.0,17691.0,14544.0
1992-06-20,76679.0,16819.0,13627.0
1992-06-27,76665.0,15367.0,13000.0
1992-07-04,81684.0,16513.0,11998.0
1992-07-11,76099.0,16170.0,17502.0
1992-07-18,68791.0,17195.0,15170.0
1992-07-25,66833.0,16556.0,13810.0
1992-08-01,67990.0,15374.0,12050.0
1992-08-08,73330.0,17347.0,12327.0
1992-08-15,64720.0,15175.0,10818.0
1992-08-22,64288.0,15203.0,10580.0
1992-08-29,64992.0,14742.0,8421.0
1992-09-05,65473.0,14955.0,10974.0
1992-09-12,61784.0,13377.0,13182.0
1992-09-19,69398.0,13871.0,15375.0
1992-09-26,68407.0,14712.0,13581.0
1992-10-03,71515.0,14359.0,12229.0
1992-10-10,67931.0,16609.0,13469.0
1992-10-17,61768.0,15943.0,11391.0
1992-10-24,68819.0,15451.0,10265.0
1992-10-31,67925.0,15594.0,10209.0
1992-11-07,78073.0,17023.0,10581.0
1992-11-14,62973.0,15268.0,8796.0
1992-11-21,71012.0,17546.0,10477.0
1992-11-28,46830.0,14137.0,6502.0
1992-12-05,74800.0,17985.0,10587.0
1992-12-12,78354.0,18926.0,10255.0
1992-12-19,67149.0,17129.0,8974.0
1992-12-26,55219.0,15677.0,6532.0
1993-01-02,60366.0,14860.0,9172.0
1993-01-09,85984.0,18223.0,12426.0
1993-01-16,79753.0,22026.0,11939.0
1993-01-23,76477.0,16978.0,8466.0
1993-01-30,71391.0,18267.0,9399.0
1993-02-06,76642.0,16269.0,9788.0
1993-02-13,69853.0,13582.0,8856.0
1993-02-20,74416.0,17238.0,8635.0
1993-02-27,75167.0,14993.0,8368.0
1993-03-06,71654.0,14477.0,8818.0
1993-03-13,71128.0,14610.0,8920.0
1993-03-20,59780.0,14751.0,8874.0
1993-03-27,63188.0,14352.0,9134.0
1993-04-03,67229.0,13075.0,9170.0
1993-04-10,59604.0,14787.0,11117.0
1993-04-17,56537.0,13934.0,8611.0
1993-04-24,55863.0,13778.0,9067.0
1993-05-01,56848.0,15486.0,8782.0
1993-05-08,63515.0,13225.0,9832.0
1993-05-15,57733.0,13564.0,9734.0
1993-05-22,54616.0,13678.0,10188.0
1993-05-29,55153.0,15414.0,9717.0
1993-06-05,53195.0,12754.0,9067.0
1993-06-12,60634.0,15227.0,12366.0
1993-06-19,60659.0,14525.0,11538.0
1993-06-26,62112.0,15057.0,10613.0
1993-07-03,64408.0,14204.0,11410.0
1993-07-10,54524.0,14579.0,12069.0
1993-07-17,59607.0,16128.0,13765.0
1993-07-24,57827.0,14406.0,11770.0
1993-07-31,54880.0,15250.0,10195.0
1993-08-07,61223.0,14424.0,10256.0
1993-08-14,55356.0,13174.0,9798.0
1993-08-21,53786.0,13837.0,9198.0
1993-08-28,51284.0,13206.0,9012.0
1993-09-04,53442.0,13345.0,9546.0
1993-09-11,46008.0,12931.0,8209.0
1993-09-18,54266.0,12892.0,9821.0
1993-09-25,55109.0,13279.0,9190.0
1993-10-02,55280.0,13318.0,8858.0
1993-10-09,66330.0,15134.0,11963.0
1993-10-16,59973.0,16156.0,10883.0
1993-10-23,66698.0,16801.0,11679.0
